id;placed_date;status;code
1;2020-04-16T05:34:50;COMPLETED;Georgia calculate withdrawal
2;2020-04-15T16:31:20;COMPLETED;compress Steel out-of-the-box
3;2020-04-15T18:02:32;PENDING;Concrete
4;2020-04-16T07:28:27;CANCELLED;Investment Account
5;2020-04-15T18:45:17;PENDING;United States of America
6;2020-04-16T08:57:21;CANCELLED;IB Industrial Credit Card Account
7;2020-04-16T12:03:46;CANCELLED;Cotton Egyptian Pound
8;2020-04-15T20:59:50;COMPLETED;Home Loan Account
9;2020-04-16T05:54:06;COMPLETED;Human
10;2020-04-15T16:02:44;CANCELLED;payment
